,Parent company,Production Max,Link info (no text),Technologie,Species,Latest update,Country,Location,Location source,Carbon intensity of electricity - gCO2/kWh,elec_conso_kWh,carbon_elec_kt,Detailed status,Status,Lat,Long
70,Sotenas Marine Park,100000.0,https://www.intrafish.com/salmon/most-definitely-a-challenge-one-of-europes-largest-land-based-salmon-projects-changes-ownership-structure-name/2-1-1426418,RAS,Atlantic Salmon,2023.0,Sweden,"Sotenäs, Kungshamn",https://www.seafoodsource.com/news/aquaculture/construction-agreement-reached-on-usd-2-billion-swedish-land-based-salmon-farm,45.119328,959000000.0,43.269435552,Conceptual,Project,58.36305,11.25938
71,Maiken Foods,100000.0,https://www.salmonbusiness.com/fish-farming-veteran-wants-to-produce-100000-tonnes-of-land-based-salmon-in-portugal/,RAS,Atlantic Salmon,2021.0,Portugal,Figueira da Foz,https://www.salmonbusiness.com/fish-farming-veteran-wants-to-produce-100000-tonnes-of-land-based-salmon-in-portugal/,234.60472,959000000.0,224.98592648,Conceptual,Project,40.15085,-8.86179
72,West Coast Salmon ,60000.0,https://www.nnbw.com/news/2022/dec/21/west-coast-salmon-plans-atlantic-salmon-operation-near-winnemucca/,RAS,Atlantic Salmon,2022.0,United States,"near Winnemucca, Nevada",https://www.nnbw.com/news/2022/dec/21/west-coast-salmon-plans-atlantic-salmon-operation-near-winnemucca/,368.10196,575400000.0,211.805867784,Conceptual,Project,40.97296,-117.73568
73,Whole Oceans,50000.0,https://www.salmonbusiness.com/whole-oceans-bucksport-salmon-farm-work-begin-2022/,RAS,Atlantic Salmon,2022.0,United States,"Bucksport, Maine",https://www.salmonbusiness.com/whole-oceans-bucksport-salmon-farm-work-begin-2022/,368.10196,479500000.0,176.50488982,Financial block,Project,44.57369,-68.79559
74,Samherji,40000.0,https://weareaquaculture.com/news/33582,RAS,Atlantic Salmon,2023.0,Iceland,Reykjanes,https://weareaquaculture.com/news/33582,28.556593,383600000.0,10.9543090748,Conceptual,Project,63.99813,-22.56111
75,Laxey,27000.0,"https://weareaquaculture.com/news/39266#:~:text=The%20company%20has%20already%20begun,and%20a%20grow%2Dout%20facility.",Hybrid FTS/RAS,Atlantic Salmon,2023.0,Iceland,"Vestmannaeyjar, Westman islands","https://weareaquaculture.com/news/39266#:~:text=The%20company%20has%20already%20begun,and%20a%20grow%2Dout%20facility.",28.556593,258930000.0,7.394158625489999,In construction,In construction,63.44273,-20.27339
76,Pure Salmon,20000.0,https://www.sudouest.fr/gironde/le-verdon-sur-mer/le-verdon-sur-mer-projet-de-ferme-usine-de-saumons-l-industriel-doit-completer-son-dossier-environnemental-16639954.php,RAS,Atlantic Salmon,2023.0,France,Le Verdon-sur-Mer,https://pure-salmon.com/pure-salmon-farms,84.879,191800000.0,16.2797922,Local opposition,Project,45.54627,-1.06158
77,Pure Salmon,20000.0,https://www.fishfarmingexpert.com/pure-salmon-soul-of-japan/pure-salmon-making-progress-in-japan/1561914,RAS,Atlantic Salmon,2023.0,Japan,"Tsu City, Mie Prefecture",https://pure-salmon.com/pure-salmon-farms/,494.85748,191800000.0,94.913664664,In construction,In construction,34.73333,136.51667
78,Pure Salmon,20000.0,https://www.globalseafood.org/advocate/africas-first-land-based-salmon-farm-a-landmark-for-lesotho/,RAS,Atlantic Salmon,2019.0,Lesotho,Butha-Buthe Highland region,"https://www.salmonbusiness.com/20000-tonne-land-based-salmon-farm-planned-for-lesotho/#:~:text=8F%20Asset%20Management%20has%20signed,of%20the%20Kingdom%20of%20Lesotho.&text=Pure%20Salmon's%20parent%20company%208F,new%20USD%20250%20million%20project",20.0,191800000.0,3.836,Conceptual,Project,-28.76659,28.24937
79,Aquacon,15000.0,https://www.seafoodsource.com/news/premium/aquaculture/aquacon-gets-first-permits-for-salmon-ras-in-maryland?private=true,RAS,Atlantic Salmon,2022.0,United States,"Federalsburg, Maryland",https://www.seafoodsource.com/news/aquaculture/aquacon-pulls-plan-to-build-15-000-mt-ras-in-us-state-of-maryland,368.10196,143850000.0,52.951466946,Local opposition,Project,38.69428,-75.77216
80,Columbi Salmon,12000.0,https://www.seafoodsource.com/news/aquaculture/columbi-salmon-forges-ahead-with-belgium-ras-farm-plans,RAS,Atlantic Salmon,2021.0,Belgium,Ostende,https://www.seafoodsource.com/news/aquaculture/columbi-salmon-forges-ahead-with-belgium-ras-farm-plans,167.10457,115080000.0,19.230393915599997,Local opposition,Project,51.21551,2.927
81,Kazan-anlegg,10000.0,https://norne.no/wp-content/uploads/2023/01/Land-Based_Salmon_Farming_Update_2023-01-24.pdf,RAS,Atlantic Salmon,2023.0,Russia,Kazan,https://norne.no/wp-content/uploads/2023/01/Land-Based_Salmon_Farming_Update_2023-01-24.pdf,363.67453,95900000.0,34.876387427,Conceptual,Project,55.78874,49.12214
82,Pure Salmon,10000.0,https://pure-salmon-brunei.com/,RAS,Atlantic Salmon,2024.0,Brunei,"Kg Sabun, Mukim Serasa, Muara",https://pure-salmon-brunei.com/,493.5897,95900000.0,47.33525223,Conceptual,Project,5.02447,115.04664
83,SEA Aquaculture ,10000.0,https://www.undercurrentnews.com/2021/09/01/fundraising-soon-to-launch-for-10000t-vietnam-salmon-ras-after-pandemic-delays/,RAS,Atlantic Salmon,2021.0,Vietnam,south of Da Nang,https://www.aquacircle.org/modules/default.aspx?pageid=8&newsid=1133,386.49127,95900000.0,37.064512793,Conceptual,Project,16.06778,108.22083
84,Strizh-Aqua,10000.0,https://www.salmonbusiness.com/new-10000-tonnes-land-based-salmon-farm-on-the-horizon-in-russia/,RAS,Atlantic Salmon,2021.0,Russia,Krasnodar,https://www.salmonbusiness.com/new-10000-tonnes-land-based-salmon-farm-on-the-horizon-in-russia/,363.67453,95900000.0,34.876387427,Conceptual,Project,45.04484,38.97603
85,Svensk Lax,10000.0,https://www.intrafish.com/aquaculture/sweden-s-first-land-based-salmon-farm-nabs-51-million-from-european-investment-bank/2-1-1378235,RAS,Atlantic Salmon,2022.0,Sweden,Säffle,https://www.intrafish.com/aquaculture/sweden-s-first-land-based-salmon-farm-nabs-51-million-from-european-investment-bank/2-1-1378235,45.119328,95900000.0,4.326943555200001,Conceptual,Project,59.13229,12.92888
86,Impact Marine,10000.0,"https://www.impactmarine.ch/bluff-newzealand#:~:text=ImpactMarine's%20Bluff%20facility%20in%20New,the%20first%20harvest%20in%202026.",RAS,King Salmon,2024.0,New Zealand,Bluff,"https://www.impactmarine.ch/bluff-newzealand#:~:text=ImpactMarine's%20Bluff%20facility%20in%20New,the%20first%20harvest%20in%202026.",105.215416,95900000.0,10.0901583944,In construction,In construction,-46.6,168.33333
87,Local Ocean,40000.0,https://www.seafoodsource.com/news/aquaculture/local-ocean-pushing-forward-on-salmon-ras-in-france,RAS,Atlantic Salmon,2023.0,France,Boulogne-sur-Mer,https://www.seafoodsource.com/news/aquaculture/local-ocean-pushing-forward-on-salmon-ras-in-france,84.879,383600000.0,32.5595844,Permit,Project,50.72485,1.61373
88,Smart Salmon,20000.0,https://www.lesechos.fr/pme-regions/bretagne/polemique-autour-dun-projet-de-ferme-geante-de-saumons-dans-les-cotes-darmor-1375382,RAS,Atlantic Salmon,2023.0,France,Plouisy,https://www.pdm-seafoodmag.com/lactualite/saumon-le-point-sur-les-projets-de-fermes-ras/,84.879,191800000.0,16.2797922,Local opposition,Project,48.5787,-3.18379
89,Akvaproduct,7500.0,https://www.seafoodsource.com/news/aquaculture/russian-company-launching-salmon-hatchery-ras-soon#:,RAS,Atlantic Salmon,2023.0,Russia,Vologda,https://www.seafoodsource.com/news/aquaculture/russian-company-launching-salmon-hatchery-ras-soon,363.67453,71925000.0,26.15729057025,In construction,In construction,59.2239,39.88398
90,Maiken Foods,6000.0,https://maikenfoods.com/press-releases/maiken-foods-invests-80-million-euros-in-salmon-and-cod-aquaculture-in-sines-southwest-portugal/,RAS,Atlantic Salmon,2022.0,Portugal,Sines,https://maikenfoods.com/press-releases/maiken-foods-invests-80-million-euros-in-salmon-and-cod-aquaculture-in-sines-southwest-portugal/,234.60472,57540000.0,13.499155588799999,Conceptual,Project,37.95622,-8.86979
91,Proximar Seafood,5300.0,https://www.fishfarmingexpert.com/another-milestone-reached-for-land-based-salmon-farm-in-japan/1606216,RAS,Atlantic Salmon,2023.0,Japan,Oyama,https://www.fishfarmingexpert.com/another-milestone-reached-for-land-based-salmon-farm-in-japan/1606216,494.85748,50827000.0,25.152121135959998,Operating,Operating,36.3,139.8
92,Aqua Group,5000.0,https://www.intrafish.com/salmon/russian-company-to-build-57-million-land-based-salmon-farm-near-moscow/2-1-839308,RAS,Atlantic Salmon,2022.0,Russia,Kashira,https://www.intrafish.com/salmon/russian-company-to-build-57-million-land-based-salmon-farm-near-moscow/2-1-839308,363.67453,47950000.0,17.4381937135,Conceptual,Project,54.84763,38.18214
93,Aquacultured Seafood,5000.0,https://www.salmonbusiness.com/grimsbys-125-million-land-based-salmon-set-for-approval/,RAS,Atlantic Salmon,2023.0,United Kingdom,Grimsby,https://www.salmonbusiness.com/grimsbys-125-million-land-based-salmon-set-for-approval/,261.1549,47950000.0,12.522377455,Conceptual,Project,53.56539,-0.07553
94,Swiss Blue Salmon,3400.0,https://www.fishfarmingexpert.com/billund-aquaculture-recirculating-aquaculture-system-swiss-blue-salmon/billund-and-swiss-newcomer-plan-worlds-smartest-salmon-farm/1179592,RAS,Atlantic Salmon,2022.0,Switzerland,Canton of Glarus,https://www.fishfarmingexpert.com/billund-aquaculture-recirculating-aquaculture-system-swiss-blue-salmon/billund-and-swiss-newcomer-plan-worlds-smartest-salmon-farm/1179592,41.27851,32606000.0,1.34592709706,Conceptual,Project,47.04057,9.06804
95,Norcantabric,3000.0,https://www.fishfarmingexpert.com/alpha-aqua-cantabria-norcantabric/spanish-ras-salmon-plant-inaugurated/1374312,RAS,Atlantic Salmon,2021.0,Spain,"Riancho, Ramales de la Victoria",https://www.fishfarmingexpert.com/alpha-aqua-cantabria-norcantabric/spanish-ras-salmon-plant-inaugurated/1374312,217.42178,28770000.0,6.2552246106,Operating,Operating,43.2572,-3.46516
96,Seafood Legacy ,3000.0,https://www.salmonbusiness.com/here-are-the-two-brothers-behind-the-new-e40-million-land-based-salmon-farm-in-northern-spain/,RAS,Atlantic Salmon,2020.0,Spain,Burela,https://www.salmonbusiness.com/here-are-the-two-brothers-behind-the-new-e40-million-land-based-salmon-farm-in-northern-spain/,217.42178,28770000.0,6.2552246106,Conceptual,Project,43.662,-7.367
97,Cermaq                         ,2500.0,https://www.fishfarmingexpert.com/atland-corporation-cermaq-japan/cermaq-owner-mitsubishi-building-on-land-salmon-farm/1169108,RAS,Atlantic Salmon,2022.0,Japan,Nyuzen,https://www.fishfarmingexpert.com/atland-corporation-cermaq-japan/cermaq-owner-mitsubishi-building-on-land-salmon-farm/1169108,494.85748,23975000.0,11.864208083,Conceptual,Project,36.93744,137.50059
98,Danish Salmon,2500.0,https://www.salmonbusiness.com/danish-salmon-to-build-new-facility-and-double-production/,RAS,Atlantic Salmon,2019.0,Denmark,Hirtshals,https://www.salmonbusiness.com/danish-salmon-to-build-new-facility-and-double-production/,180.41837,23975000.0,4.32553042075,Operating,Operating,57.58812,9.95922
99,Ocean Harvest,2000.0,"https://www.salmonbusiness.com/uae-land-based-salmon-farmer-ocean-harvest-seeks-180m-in-series-a-funding/#:~:text=Ocean%20Harvest%2C%20which%20was%20founded,based%20water%20treatment%20firm%20Suez.",RAS,Atlantic Salmon,2023.0,United Arab Emirates,near Abu Dhabi,"https://www.salmonbusiness.com/uae-land-based-salmon-farmer-ocean-harvest-seeks-180m-in-series-a-funding/#:~:text=Ocean%20Harvest%2C%20which%20was%20founded,based%20water%20treatment%20firm%20Suez.",407.97467,19180000.0,7.824954170600001,Conceptual,Project,24.45118,54.39696
100,FRD Japan,1500.0,https://www.salmonbusiness.com/japanese-frd-plans-tap-water-revolution-eyes-first-1500-t/,RAS,Atlantic Salmon,2018.0,Japan,"Kisarazu City, Chiba prefecture","https://www.rastechmagazine.com/sun-rises-on-japanese-ras/#:~:text=FRD%20Japan%2C%20which%20is%20headquartered,tonnes%20of%20trout%20per%20year.",494.85748,14385000.0,7.1185248498,Conceptual,Project,35.38329,139.93254
101,Namgis Kuterra,250.0,https://www.salmonbusiness.com/whole-oceans-parent-company-sign-15-year-lease-with-first-nation-owned-land-based-salmon-farm-kuterra/,RAS,Atlantic Salmon,2019.0,Canada,"near Port McNeill, Vancover island",https://www.salmonbusiness.com/land-based-farms-in-canada-years-away-from-being-profitable/,125.84192,2397500.0,0.30170600319999996,Operating,Operating,50.59,-127.08638
102,Global Fish ,600.0,https://www.rastechmagazine.com/pure-salmon-secures-certication-for-ras-facility-in-poland/,RAS,Atlantic Salmon,2020.0,Poland,"Płońsk, near Warsaw",https://www.salmonbusiness.com/four-years-later-and-no-fish-were-pure-salmons-plans-for-260k-tonnes-a-year-just-a-pipe-dream/,633.22766,5754000.0,3.64359195564,Operating,Operating,52.62348,20.37552
103,Blue Horizon Coho ,500.0,http://en.bheco.cn/aquatic.html,RAS,Pacific Salmon and Shrimp,2024.0,China,Dongying,http://en.bheco.cn/aquatic.html,533.9828,4795000.0,2.560447526,Operating,Operating,37.46271,118.49165
104,Saumon de France,100.0,https://thefishsite.com/articles/how-frances-flagship-salmon-farm-plans-to-adapt-to-climate-change-saumon-de-france,RAS,Atlantic Salmon and Rainbow Trout,2024.0,France,Isigny-sur-Mer,https://www.pdm-seafoodmag.com/lactualite/saumon-isigny-pour-les-inities/,84.879,959000.0,0.081398961,Operating,Operating,49.31604,-1.10384
105,West Creek Aquaculture,90.0,https://www.salmonbusiness.com/these-are-the-leading-land-based-salmon-farms-in-the-world-right-now/,RAS,Sockeye Salmon,2019.0,Canada,Agassiz,https://www.salmonbusiness.com/these-are-the-leading-land-based-salmon-farms-in-the-world-right-now/,125.84192,863100.0,0.108614161152,Operating,Operating,49.23298,-121.76926
106,Pure Salmon,120000.0,"https://www.bmkgenetics.com/pure-salmon-chooses-benchmark-genetics-to-supply-ova/#:~:text=260%2C000%20tonnes%20a%20year&text=The%20first%20phase%20of%20its,Salmon%20has%20its%20head%20office.",RAS,Atlantic Salmon,2024.0,TBD,TBD,,,1150800000.0,,No project yet,No project yet,,
107,Proximar Seafood,20700.0,https://norne.no/wp-content/uploads/2023/01/Land-Based_Salmon_Farming_Update_2023-01-24.pdf,RAS,Atlantic Salmon,2023.0,TBD,TBD,,,198513000.0,,No project yet,No project yet,,
108,Qingdao Guoxin,60000.0,https://www.fishfarmingexpert.com/8f-asset-management-ace-aquatec-humane-stunner-universal/pure-salmon-lines-up-ace-aquatec-stunner-for-ras-plants/1295072,RAS,Atlantic Salmon,2022.0,China,Yellow Sea (ship),,533.9828,575400000.0,307.25370312,No project yet,No project yet,,
109,Salmon Evolution,19200.0,https://www.rastechmagazine.com/salmon-evolution-launches-north-american-expansion/,RAS,Atlantic Salmon,2022.0,TBD,TBD,,,184128000.0,,No project yet,No project yet,,
